diff_time,diff_time_minutes,diff_time_hours
43289,721.4833333333333,12.024722222222222
23200,386.6666666666667,6.444444444444445
14556354,242605.9,4043.431666666667
10816482,180274.7,3004.5783333333334
4675,77.91666666666667,1.2986111111111112
16020899,267014.98333333334,4450.249722222222
22418038,373633.9666666667,6227.232777777778
68224,1137.0666666666666,18.95111111111111
56161,936.0166666666667,15.600277777777778
6598772,109979.53333333334,1832.9922222222222
2879,47.983333333333334,0.7997222222222222
2141189,35686.48333333333,594.7747222222222
27801,463.35,7.7225
1563488,26058.133333333335,434.3022222222222
15369308,256155.13333333333,4269.252222222222
9134980,152249.66666666666,2537.4944444444445
25705743,428429.05,7140.484166666667
16379826,272997.1,4549.951666666667
67145,1119.0833333333333,18.65138888888889
67016,1116.9333333333334,18.615555555555556
523921,8732.016666666666,145.5336111111111
