day,average_time_in_port
11/8/2023,480.5773551
11/9/2023,698.3204819
11/10/2023,573.0890295
11/11/2023,498.9846667
11/12/2023,843.1712302
11/13/2023,546.5528889
11/14/2023,841.1394737
11/15/2023,1236.472605
11/16/2023,497.128839
11/17/2023,886.1352321
11/18/2023,399.2904762
11/19/2023,492.142963
11/20/2023,316.775
11/21/2023,1612.640805
11/22/2023,465.465098
11/23/2023,488.49875
11/24/2023,468.0373494
11/25/2023,516.6911232
11/26/2023,985.7513566
11/27/2023,443.3042553
11/28/2023,696.8727599
11/29/2023,422.8664683
11/30/2023,485.8195473
12/1/2023,641.5737179
12/2/2023,531.0604938
12/3/2023,476.845977
12/4/2023,487.2992674
12/5/2023,631.8518315
12/6/2023,418.0519298
12/7/2023,536.8184295
12/8/2023,350.2115942
12/9/2023,686.3026217
12/10/2023,775.8005682
12/11/2023,446.8170886
12/12/2023,690.8541667
12/13/2023,471.0759058
12/14/2023,596.8412879
12/15/2023,818.8974227
12/16/2023,562.3934641
12/17/2023,370.3979351
12/18/2023,446.4304487
12/19/2023,664.7602431
12/20/2023,512.7773684
12/21/2023,972.8866667
12/22/2023,640.1548387
12/23/2023,321.6752874
12/24/2023,281.8102273
12/25/2023,424.7748148
12/26/2023,474.174031
12/27/2023,281.4615385
12/28/2023,276.921748
12/29/2023,314.4255208
12/30/2023,245.2291209
12/31/2023,226.529955
