mmsi,Port_Country,sc_vessel,vessel_type,dt_pos_utc_aoi,dt_pos_utc_nonaoi,diff_nonaoi_aoi,latitude_aoi,longitude_aoi,latitude_nonaoi,longitude_nonaoi,movement
525012317,Serangoon Harbor_Singapore,Indonesia,Cargo,2022-01-05 20:45:08,2022-01-05 11:58:29,31599,1.28831333,104.13359,1.28556833,104.15242333,Masuk
525012318,Serangoon Harbor_Singapore,Indonesia,Cargo,2022-11-25 02:14:35,2022-10-20 06:36:27,3094688,1.34333333,104.05333333,1.19104,103.88513667,Masuk
525018368,Pulau Sebarok_Singapore,Indonesia,Tanker,2022-03-29 21:13:50,2022-01-19 17:04:20,5976570,1.21198167,103.97077333,0.99624833,103.67046667,Masuk
525019651,Keppel - (East Singapore)_Singapore,Indonesia,Other,2022-03-26 02:04:49,2022-03-25 13:29:47,45302,1.18156333,103.95993833,1.08253,103.88931167,Masuk
525019651,Keppel - (East Singapore)_Singapore,Indonesia,Other,2022-03-26 02:32:18,2022-03-25 13:29:47,46951,1.18670333,103.95230667,1.08253,103.88931167,Masuk
525020024,Johor_Malaysia,Indonesia,Dredging,2022-08-17 23:37:49,2022-08-17 23:17:39,1210,1.30499333,104.09355167,1.29607,104.099065,Masuk
525020024,Johor_Malaysia,Indonesia,Dredging,2022-06-05 22:05:47,2022-06-05 20:10:45,6902,1.25473833,104.085025,1.22833333,104.00833333,Masuk
525024138,Pelabuhan Sungai Udang_Malaysia,Indonesia,Other,2022-11-01 08:57:16,2022-11-01 03:21:09,20167,2.21666667,101.975,2.04166667,102.18,Masuk
525025083,Thursday Island_Australia,Indonesia,Cargo,2022-03-13 08:02:28,2022-03-13 07:52:31,597,-10.56332667,142.03156,-10.56141667,142.01170667,Masuk
525025083,Thursday Island_Australia,Indonesia,Cargo,2022-03-13 10:43:22,2022-03-13 07:52:31,10251,-10.47899,142.32309333,-10.56141667,142.01170667,Masuk
525025103,Pelabuhan Sungai Udang_Malaysia,Indonesia,Cargo,2022-11-19 18:28:28,2022-11-19 17:09:34,4734,2.20647,101.96313833,2.045,102.16,Masuk
525100764,Kemaman Harbor_Malaysia,Indonesia,Tanker,2022-03-26 13:21:02,2022-03-02 18:42:01,2054341,4.31300667,103.60127333,4.04656167,103.61574333,Masuk
525100764,Kemaman Harbor_Malaysia,Indonesia,Tanker,2022-04-10 23:46:55,2022-03-02 18:42:01,3387894,4.11893,103.60848167,4.04656167,103.61574333,Masuk
525101470,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-09-03 23:50:26,2022-09-03 18:41:24,18542,1.165,103.99666667,1.16501667,103.998,Masuk
525113028,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-07-19 01:38:48,2022-07-18 19:07:58,23450,1.19,103.98166667,1.16333333,103.99833333,Masuk
525113028,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-07-19 01:38:48,2022-07-18 14:33:29,39919,1.19,103.98166667,1.16333333,103.99833333,Masuk
525119103,Serangoon Harbor_Singapore,Indonesia,Tanker,2022-03-11 12:52:10,2022-03-09 15:59:38,161552,1.24368333,104.1293,1.20148333,103.90055,Masuk
525119103,Serangoon Harbor_Singapore,Indonesia,Tanker,2022-03-25 07:00:29,2022-03-09 15:59:38,1350051,1.25613333,104.12648333,1.20148333,103.90055,Masuk
525119190,Jurong Island_Singapore,Indonesia,Cargo,2022-12-17 05:24:01,2022-09-12 19:56:56,8242025,1.0906,103.728375,1.11336,103.52894833,Masuk
525120018,Jurong Island_Singapore,Indonesia,Cargo,2022-09-28 19:25:52,2022-09-28 07:38:59,42413,1.26845,103.87973833,1.23844667,103.93638167,Masuk
525120018,Jurong Island_Singapore,Indonesia,Cargo,2022-09-28 20:01:52,2022-09-28 07:38:59,44573,1.27028167,103.87903833,1.23844667,103.93638167,Masuk
525200061,Johor_Malaysia,Indonesia,Passenger,2022-09-17 03:18:00,2022-09-17 03:05:55,725,1.3527,104.05378333,1.3,104.09666667,Masuk
525401015,Serangoon Harbor_Singapore,Indonesia,Sailing,2022-06-19 16:55:21,2022-06-18 04:42:21,130380,1.20345167,104.05725167,1.19719,104.06529667,Masuk
525401746,Jurong Island_Singapore,Indonesia,Other,2022-10-22 12:38:21,2022-10-22 09:23:18,11703,1.155,103.93333333,1.155,103.935,Masuk
525401746,Jurong Island_Singapore,Indonesia,Other,2022-10-22 12:38:21,2022-10-22 06:38:19,21602,1.155,103.93333333,1.155,103.935,Masuk
